Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,lat,lng
108 Rue Saint Lazare 8th arr 75008 Paris France,65,9/9/2016,8.4,Hilton Paris Opera, Breakfast is not too good extra charge for fried eggs Food in the lounge is not frequently replenished and the floor was wet with water from the fridge when we went there one of the afternoons ,38,458, Good location Rooms are clean Pillows and the bed are very comfortable ,14,3,8.3,"[' Leisure trip ', ' Family with young children ', ' Executive Room Free Executive Lounge Access ', ' Stayed 5 nights ']",48.8756604,2.3252075
1 Place De La Sorbonne 5th arr 75005 Paris France,118,9/8/2015,8.9,Select Hotel, We booked a deluxe garden view room with 2 single beds What did we get A room that felt like a cave with a double bed no shower and not even a door on the bathroom When we asked for another room they said they were fully booked and gave us a bedsheet and a roll of duct tape to create some privacy for the bathroom When we checked out we were charged the same price as the deluxe room The complimentary water had already had a few gulps from it ,93,1145, After our complaint re the absent shower and bathroom door in our room we were shifted to what I believe we had originally booked That room was great but that could also just be because it had a shower and a bathroom door The beds are comfy The hotel is in a great location ,56,11,5.8,"[' Leisure trip ', ' Group ', ' Deluxe Double with Winter Garden View ', ' Stayed 2 nights ']",48.8483053,2.3425596
1 Rue Du G n ral Blaise 11th arr 75011 Paris France,89,9/8/2015,8.2,Gardette Park Hotel, Even the hotel have a sound proof but i still can hear other customers banging their door It is a bit dark in the room the two spot lights were bright but installed on the top of one side of the room Two beside lamps are too dim ,50,1011, it is in quiet location Friendly staff and very clean room ,13,5,9.2,"[' Leisure trip ', ' Group ', ' Twin Room ', ' Stayed 3 nights ']",48.8610265,2.3788974
11 15 Rue De Lyon 12th arr 75012 Paris France,205,9/7/2016,8.3,Holiday Inn Paris Gare de Lyon Bastille, the heat coming out from minibar was making the whole cabinet where the safe is very hot also a lot of homeless beggers around the hotel ,28,2200, good location clean hotel 200 meters away from le bus direct stop for direct airport transport many restaurants and a supermarket just 50 meters away ,27,2,8.8,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8468064,2.3714789
1 Avenue Carnot 17th arr 75017 Paris France,75,9/6/2016,8.9,Splendid Etoile, Staff was friendly but could be slightly more helpful when asking some directions for a good place to eat Missing a bar or place for a drink Limited shops and restaurants in the direct area unless you cross over to the High Street Champs drinks in the minibar are overpriced 6 for a simple coke but this is a more Paris issue in general perhaps ,67,486, Clean rooms no noise even when so close to the main street excellent balcony with a super view 5th floor nicely decorated safe everything you need for a perfect stay Close to the metro station and this line brings you to all good places ,46,11,9.2,"[' Leisure trip ', ' Couple ', ' Privilege Room With View ', ' Stayed 2 nights ']",48.874707,2.2936761
1 Place Vend me 1st arr 75001 Paris France,70,9/6/2016,8.7,H tel De Vend me, Nothing,2,425, I loved everything from the great location to the excellent staff and facilities and the outstanding restaurant Would definitely recommend this hotel ,24,19,10,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']",48.8668564,2.3286339
10 12 rue Cognacq Jay 7th arr 75007 Paris France,96,9/6/2016,8.6,H tel Juliana Paris, None ,3,577, Everything,2,11,10,"[' Solo traveler ', ' Family Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",48.8619373,2.3040298
10 Place De La R publique 11th arr 75011 Paris France,141,9/6/2016,8,Crowne Plaza Paris R publique, Unfortunately the Plaza st the front of hotel too busy with protests rowdy crowds Lots of eateries but not goid quality,22,1053, Great size beds fantadtic breakfast,6,2,8.8,"[' Leisure trip ', ' Couple ', ' Double Room with Club Lounge Access ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8673199,2.3656296
11 15 Rue De Lyon 12th arr 75012 Paris France,205,9/6/2016,8.3,Holiday Inn Paris Gare de Lyon Bastille, none,2,2200, great location just minutes away from the main train station staff is friendly and helpful room was clean and comfortable,21,2,10,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ']",48.8468064,2.3714789
11 15 Rue De Lyon 12th arr 75012 Paris France,205,9/6/2016,8.3,Holiday Inn Paris Gare de Lyon Bastille, We are the member of IHG but they did not honor the nights that we booked through booking com for giving us the points ,26,2200, 1 we liked its closeness to the public transportation 2 the breakfast was very good,16,1,6.7,"[' Leisure trip ', ' Couple ', ' King Room Non Smoking ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",48.8468064,2.3714789
1 Rue De Libourne 12th arr 75012 Paris France,150,9/6/2015,8.7,Pullman Paris Centre Bercy, Parking not free,4,1382, Friendly staff free breakfast metro station nearby,8,8,10,"[' Leisure trip ', ' Family with young children ', ' Classique Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",48.8315204,2.3870797
